2025-04-26 01:00:05.358 === [main] === INFO  === c.e.smartttevaluation.SmartttEvaluationApplication - Starting SmartttEvaluationApplication using Java 1.8.0_401 on Asuka with PID 8572 (E:\Code\vue_project\smarttt-backend\smarttt-evaluation\target\classes started by zhang in E:\Code\vue_project\smarttt-backend)
2025-04-26 01:00:05.382 === [main] === DEBUG === c.e.smartttevaluation.SmartttEvaluationApplication - Running with Spring Boot v2.7.6, Spring v5.3.24
2025-04-26 01:00:05.383 === [main] === INFO  === c.e.smartttevaluation.SmartttEvaluationApplication - The following 1 profile is active: "dev"
2025-04-26 01:00:07.148 === [main] === INFO  === o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-04-26 01:00:07.156 === [main] === INFO  === o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-04-26 01:00:07.215 === [main] === INFO  === o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 33 ms. Found 0 Redis repository interfaces.
2025-04-26 01:00:08.586 === [main] === INFO  === o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8083 (http)
2025-04-26 01:00:08.684 === [main] === INFO  === org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-04-26 01:00:08.685 === [main] === INFO  === org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.69]
2025-04-26 01:00:09.297 === [main] === INFO  === o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-04-26 01:00:09.297 === [main] === INFO  === o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3740 ms
2025-04-26 01:00:09.683 === [main] === INFO  === c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2025-04-26 01:00:10.035 === [main] === INFO  === com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2025-04-26 01:00:15.720 === [main] === INFO  === o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8083 (http) with context path ''
2025-04-26 01:00:15.745 === [main] === INFO  === c.e.smartttevaluation.SmartttEvaluationApplication - Started SmartttEvaluationApplication in 11.684 seconds (JVM running for 15.636)
2025-04-26 01:00:53.465 === [http-nio-8083-exec-2] === INFO  === o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-04-26 01:00:53.465 === [http-nio-8083-exec-2] === INFO  === org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-04-26 01:00:53.468 === [http-nio-8083-exec-2] === INFO  === org.springframework.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2025-04-26 01:02:28.100 === [http-nio-8083-exec-4] === INFO  === c.e.s.service.impl.CmCourseAssessmentImpl - logId:null,最终ID:courseid=1508003654-ea23b397-4cf0-466a-823d-15288c8f3657
2025-04-26 01:04:11.806 === [http-nio-8083-exec-4] === INFO  === c.e.s.service.impl.CmCourseAssessmentImpl - logId:null,最终ID:courseid=1508003654-ea23b397-4cf0-466a-823d-15288c8f3657
2025-04-26 01:05:33.099 === [http-nio-8083-exec-4] === INFO  === c.e.s.service.impl.CmCourseAssessmentImpl - logId:null,最终ID:courseid=1508003654-c8ccba58-c412-479d-abdb-552b7bb8ab06
2025-04-26 01:06:27.683 === [SpringApplicationShutdownHook] === INFO  === com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2025-04-26 01:06:27.691 === [SpringApplicationShutdownHook] === INFO  === com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
